nombre;latitud;longitud;direccion;valoracion;reseñas_total;nivel_precio;sitio_web;url_maps;distrito_encontrado
La Cosecha;40.4268547;-3.7104184;C. del Limón, 21, Centro, 28015 Madrid, Spain;48;630;N/D;;https://maps.google.com/?cid=5685662233243387752;Centro
La Taquería de Birra (Don Pedro);40.4116629;-3.713454;C. de Don Pedro, 11, Centro, 28005 Madrid, Spain;45;2108;€€;http://www.lastaquerias.com/donpedro;https://maps.google.com/?cid=16531549535182393783;Centro
La Cochinita Loca - El Rastro;40.4068514;-3.7075424;C. de Mira el Sol, 23, Centro, 28005 Madrid, Spain;44;1216;N/D;http://www.lacochinitaloca.com/;https://maps.google.com/?cid=9787380375484397382;Centro
La Venganza De Malinche | Restaurante Mexicano | Plaza de España;40.4251132;-3.7118469;C. del Duque de Osuna, 6, Centro, 28015 Madrid, Spain;42;1620;€€;http://www.venganzamalinche.com/;https://maps.google.com/?cid=8916627898336475346;Centro
Central Mexicana Gourmet Experience;40.419842;-3.7054769;Pl. del Callao, 2, Centro, 28013 Madrid, Spain;41;239;N/D;http://www.centralmexicana.es/;https://maps.google.com/?cid=6677127791742836856;Centro
La Mera Mera de Madrid;40.4077339;-3.7036534;C. de Embajadores, 41, Puesto 18, Centro, Centro, 28012 Madrid, Spain;46;59;N/D;https://www.instagram.com/lameramerademadrid/;https://maps.google.com/?cid=1720103881946631315;Centro
Gracias Padre - Zona Rosa - Restaurante Mexicano;40.4221665;-3.6973905;C. de Augusto Figueroa, 37, Centro, 28004 Madrid, Spain;44;2817;N/D;https://graciaspadre.es/;https://maps.google.com/?cid=10348270423779738464;Centro
Tacos No Mames Wey;40.4187036;-3.710611;C. de Felipe V, 2, Bajo C, Centro, 28013 Madrid, Spain;41;244;€;https://pidenmw.com/;https://maps.google.com/?cid=8333992598655621514;Centro
La Baja Marisquería | Restaurante Mexicano Madrid;40.4218559;-3.6828259;C. Alcalá, 105, Salamanca, 28009 Madrid, Spain;47;987;N/D;https://www.labajamarisqueriamexicana.com/;https://maps.google.com/?cid=10254170002177570475;Centro
Wacamole Restaurant;40.4194818;-3.7003326;C. del Caballero de Gracia, 7, Centro, 28013 Madrid, Spain;40;979;€;https://www.tacometrogroup.com/reserva-caballero-de-gracia;https://maps.google.com/?cid=6925704184168956653;Centro
DF BAR Tortería Mexicana;40.4128043;-3.6992079;C. del León, 31, Centro, 28014 Madrid, Spain;44;1175;€;http://www.dfbar.es/;https://maps.google.com/?cid=2987528957650640721;Centro
Gracias Padre - Teatro Degollado - Restaurante Mexicano;40.4125311;-3.7031644;Calle de la Magdalena, 1, Centro, 28012 Madrid, Spain;43;1005;N/D;http://www.graciaspadre.es/;https://maps.google.com/?cid=9123893928982013716;Centro
Cutzamala Mex Food;40.4115233;-3.6987911;Mercado Antón Martín, C. de Sta. Isabel, 5, Planta Baja, Centro, 28012 Madrid, Spain;47;485;N/D;https://www.cutzamexfood.es/;https://maps.google.com/?cid=14607306496988241678;Centro
Cómete México;40.4243892;-3.6785293;Calle del Gral. Pardiñas, 12, Salamanca, 28001 Madrid, Spain;44;4387;€€;https://www.cometemexico.es/;https://maps.google.com/?cid=14953670581983608859;Centro
La Mordida;40.4246092;-3.7130767;Calle de la Princesa, 3 duplicado, Moncloa - Aravaca, 28008 Madrid, Spain;44;4077;€€;http://www.lamordida.com/;https://maps.google.com/?cid=6725505209866921187;Centro
