nombre;latitud;longitud;direccion;valoracion;reseñas_total;nivel_precio;sitio_web;url_maps;distrito_encontrado
Me vale madre;40.4446908;-3.6742776;C. de López de Hoyos, 81, Chamartín, 28002 Madrid, Spain;48;61;N/D;https://www.mevalemadremex.com/;https://maps.google.com/?cid=11019778401676042564;Chamartín
El Secreto de López;40.4409273;-3.6806324;Gta. de López de Hoyos, 3, Chamartín, 28002 Madrid, Spain;44;789;€€;http://www.elsecretodelopez.com/;https://maps.google.com/?cid=14042283158466086813;Chamartín
La Venganza De Malinche | Restaurante Mexicano | Bernabeu;40.4562195;-3.6892233;Calle del Prof. Waksman, 3, Chamartín, 28036 Madrid, Spain;44;657;N/D;https://venganzamalinche.com/;https://maps.google.com/?cid=13923351603874115891;Chamartín
Gracias Padre - Los Cabos Beach - Restaurante Mexicano;40.4587141;-3.6723067;C. de Costa Rica, 15, Chamartín, 28016 Madrid, Spain;43;2124;€€;http://www.graciaspadre.es/;https://maps.google.com/?cid=15857925696853409617;Chamartín
La Mordida;40.4540601;-3.692879;Bernabeu's Bite, Av. de Brasil, 6, Tetuán, 28020 Madrid, Spain;46;5633;€€;https://www.lamordida.com/;https://maps.google.com/?cid=3245635244839685345;Chamartín
La Cochinita Loca - Tetuan;40.4549455;-3.6964588;Pl. San Amaro, 8, Tetuán, 28020 Madrid, Spain;45;2206;€€;https://www.lacochinitaloca.com/;https://maps.google.com/?cid=9393180460739233280;Chamartín
La cazuela mexicana;40.4617981;-3.6865479;La cazuela mexicana, C. Pedro Muguruza, 4, Chamartín, 28036 Madrid, Spain;43;803;€;https://www.instagram.com/lacazuelamexicana16?igsh=MXZwcjdpYnB2bnB5Yg==&utm_source=;https://maps.google.com/?cid=7363134338805455068;Chamartín
Restaurante LA VERACRUZANA;40.4790781;-3.6713342;Av. de San Luis, 166, Cdad. Lineal, 28033 Madrid, Spain;42;668;€;https://www.laveracruzanamadrid.com/;https://maps.google.com/?cid=16438186574925593882;Chamartín
Vive Mexico “la Taqueria del barrio”;40.4439964;-3.6765259;C. Luis Vives, 7, Chamartín, 28002 Madrid, Spain;42;71;N/D;http://www.vivemexico.es/;https://maps.google.com/?cid=9577760801368779504;Chamartín
Hijo del Maíz - Parrilla Mexicana;40.4571718;-3.693035;Av. de Brasil, 28, Tetuán, 28020 Madrid, Spain;45;398;€€;https://hijodelmaiz.com/;https://maps.google.com/?cid=7971233246377356956;Chamartín
TALLER MILPA| RESTAURANTE MEXICANO|;40.4421527;-3.6752577;C. de Cartagena, 136, Chamartín, 28002 Madrid, Spain;50;15;N/D;https://www.tallermilpa.com/;https://maps.google.com/?cid=3620298850025700729;Chamartín
El Criollo Taquería - Mercado Maravillas;40.4498072;-3.7025211;C. de Palencia, 6, Tetuán, 28020 Madrid, Spain;48;828;N/D;https://el-criollo.com/;https://maps.google.com/?cid=13670040543420524727;Chamartín
Birria Magistral - Restaurante Mexicano en Madrid;40.4460886;-3.6437075;C. del Gral. Aranaz, 75, Cdad. Lineal, 28027 Madrid, Spain;49;377;N/D;http://birriamagistral.com/;https://maps.google.com/?cid=10114874310179456999;Chamartín
Cantina Canalla Las Tablas - Restaurante Mexicano;40.5057907;-3.6672744;Av. de Santo Domingo de la Calzada, 39, Fuencarral-El Pardo, 28050 Madrid, Spain;46;3335;€€;http://wwww.cantinacanalla.com/;https://maps.google.com/?cid=5428876858241912924;Chamartín
Cómete México - Raimundo Fernández Villaverde;40.4462105;-3.70019;C. de Raimundo Fernández Villaverde, 26, Chamberí, 28003 Madrid, Spain;42;265;N/D;https://www.cometemexico.es/;https://maps.google.com/?cid=11623352240982101232;Chamartín
RESTAURANTE MEXICANO CHARAL;40.5058832;-3.6758162;C. San Juan de Ortega, 68, Fuencarral-El Pardo, 28050 Madrid, Spain;46;90;N/D;https://charal.myrestoo.net/es/reservar;https://maps.google.com/?cid=3932967157987172854;Chamartín
Tacos Don Manolito Caleido;40.4782706;-3.6889007;P.º de la Castellana, 259E, Fuencarral-El Pardo, 28029 Madrid, Spain;42;288;N/D;https://tacosdonmanolito.es/#encu%C3%A9ntranos;https://maps.google.com/?cid=11532070402035317389;Chamartín
La Tequileria;40.4414825;-3.6988672;C/ de Ponzano, 58, Chamberí, 28003 Madrid, Spain;50;6;N/D;;https://maps.google.com/?cid=11823891368090652669;Chamartín
El Chilar Taquería;40.4767119;-3.7049976;C. de Melchor Fernández Almagro, 50, Fuencarral-El Pardo, 28029 Madrid, Spain;46;705;€;http://www.facebook.com/elchilartaqueria.brand;https://maps.google.com/?cid=13049215020877301216;Chamartín
La Mordida;40.4416682;-3.6979198;C. de Ríos Rosas, 38, local 1, Chamberí, 28003 Madrid, Spain;43;1189;N/D;http://www.lamordida.com/;https://maps.google.com/?cid=13214793279773494019;Chamartín
Gave Mx Valdebebas;40.4923036;-3.6121191;C. de María de las Mercedes de Borbón, 90, Hortaleza, 28055 Madrid, Spain;46;653;€€;http://www.gavemx.com/;https://maps.google.com/?cid=6913123399148040323;Chamartín
Comida de tek;40.4524769;-3.6731261;C de Víctor de la Serna, 4, Chamartín, 28016 Madrid, Spain;50;1;N/D;;https://maps.google.com/?cid=1503446236677737812;Chamartín
Trompo Tacos;40.4693577;-3.6901802;C. de San Leopoldo, 8, puesto 3, Tetuán, 28029 Madrid, Spain;45;273;N/D;https://www.trompo.es/;https://maps.google.com/?cid=1468166213508762113;Chamartín
Restaurante Nano El Mexicano;40.4521054;-3.7012141;C. de Lérida, 8, Tetuán, 28020 Madrid, Spain;39;367;€€;https://restaurantenanoelmexicano.es/;https://maps.google.com/?cid=5684709173537819151;Tetuán
Mexicanísimo Tetuán;40.4515617;-3.695316;C. de Orense, 27, Tetuán, 28020 Madrid, Spain;42;72;N/D;https://www.mexicanisimo.es/;https://maps.google.com/?cid=17670190950350992712;Tetuán
Restaurante El Tío Taco;40.4641036;-3.7014137;C. de las Azucenas, 53, Tetuán, 28039 Madrid, Spain;44;616;N/D;https://www.eltiotaco.es/;https://maps.google.com/?cid=9545776116990401154;Tetuán
Restaurante Mild & Limon;40.44926;-3.7124762;C. de Almansa, 93, Moncloa - Aravaca, 28040 Madrid, Spain;47;411;N/D;;https://maps.google.com/?cid=14260146434570356646;Tetuán
Tierra Burrito Bar;40.4479937;-3.7050405;C. de Bravo Murillo, 107, Tetuán, 28039 Madrid, Spain;44;2619;€;http://tierraburritos.com/;https://maps.google.com/?cid=11802765460737671911;Tetuán
Mr keko;40.4730192;-3.7109334;C. Chantada, 16, Fuencarral-El Pardo, 28029 Madrid, Spain;49;447;N/D;https://mrkeko.com/;https://maps.google.com/?cid=15075670248709059552;Tetuán
Cómete México - Ríos Rosas;40.4422308;-3.7029922;C. de Ríos Rosas, 7, Chamberí, 28003 Madrid, Spain;42;1409;€€;https://www.cometemexico.es/;https://maps.google.com/?cid=15665649271852908078;Tetuán
La Neta Restaurante Mexicano;40.4717378;-3.664711;C. de Mesena, 85, Cdad. Lineal, 28033 Madrid, Spain;47;470;N/D;https://lanetarestaurante.com/;https://maps.google.com/?cid=1399126428753419745;Tetuán
Tierra Burrito Bar;40.4567349;-3.691533;C. de San Germán, 6, Tetuán, 28020 Madrid, Spain;44;4155;€;http://www.tierraburritos.com/;https://maps.google.com/?cid=7817440467564196036;Tetuán
La Lupita;40.4367742;-3.6931464;Calle de Zurbano, 67, Chamberí, 28010 Madrid, Spain;45;151;N/D;https://www.lalupita.es/;https://maps.google.com/?cid=6410468070728030987;Tetuán
Botanero Azteca Valdebebas - Restaurante Mexicano;40.4936333;-3.6139069;C. de Josefina Aldecoa, 8, Hortaleza, 28055 Madrid, Spain;46;236;N/D;https://www.botaneroazteca.es/;https://maps.google.com/?cid=13924391860249314998;Tetuán
MAWEY Taco Bar - Olid;40.4317055;-3.7024027;C. de Olid, 6, Chamberí, 28010 Madrid, Spain;45;2099;€€;http://www.restaurantemawey.es/;https://maps.google.com/?cid=9786499747783172190;Chamberí
La Venganza De Malinche | Restaurante Mexicano | Canal;40.4370287;-3.7039598;Calle de García de Paredes, 2, Chamberí, 28010 Madrid, Spain;42;1096;€€;http://lavenganzademalinche.com/;https://maps.google.com/?cid=12983715018529023159;Chamberí
Restaurante Taco-Jonudo;40.4317845;-3.7068019;Pl. del Conde del Valle de Súchil, 20, Chamberí, 28015 Madrid, Spain;45;145;N/D;https://tacojonudo.com/;https://maps.google.com/?cid=3503141301811453921;Chamberí
La Chocolata by Los Aguachiles;40.4302607;-3.7108132;C. de Alberto Aguilera, 30, Chamberí, 28015 Madrid, Spain;48;815;€€;http://www.lachocolatamadrid.com/;https://maps.google.com/?cid=15585977555544708674;Chamberí
La Tomata Eguilaz;40.4289675;-3.7006066;C. de Eguilaz, 1, Chamberí, 28010 Madrid, Spain;47;819;€€;;https://maps.google.com/?cid=1785053153957350453;Chamberí
Gracias Padre - Jungle Club - Restaurante Mexicano;40.4302324;-3.7047732;Calle de Sandoval, 16, Chamberí, 28010 Madrid, Spain;42;2414;€€;https://graciaspadre.es/;https://maps.google.com/?cid=4999834640132746722;Chamberí
Cherry Pecas;40.4410801;-3.7153232;Paseo de S. Fco. de Sales, 17, Chamberí, 28003 Madrid, Spain;42;2652;€;http://www.cherrypecas.com/;https://maps.google.com/?cid=3124581962252529617;Chamberí
Tacos Don Manolito;40.4451092;-3.6988809;C/ de Ponzano, 91, Chamberí, 28003 Madrid, Spain;44;602;€€;http://www.tacosdonmanolito.es/;https://maps.google.com/?cid=10961473882908448983;Chamberí
Tacos No Mames Wey;40.4347;-3.718087;C. Arcipreste de Hita, 14, Chamberí, 28015 Madrid, Spain;40;151;N/D;https://pidenmw.com/;https://maps.google.com/?cid=3084183109146362027;Chamberí
Restaurante Si Señor;40.4422308;-3.7029922;C. de Ríos Rosas, 7, Chamberí, 28003 Madrid, Spain;37;1456;€€;http://www.sisenormadrid.com/;https://maps.google.com/?cid=6239851399963887021;Chamberí
Toma Tacos;40.4308394;-3.7091301;C. de Vallehermoso, 11, Chamberí, 28015 Madrid, Spain;46;137;N/D;https://tomatacos.com/;https://maps.google.com/?cid=6812787628384437307;Chamberí
Tierra Burrito Bar;40.4360116;-3.7129396;C. de Guzmán el Bueno, 52, Chamberí, 28015 Madrid, Spain;44;3327;€;http://www.tierraburritos.com/;https://maps.google.com/?cid=930516839058941375;Chamberí
Puntarena;40.4301045;-3.7095494;C. de Alberto Aguilera, 20, Chamberí, 28015 Madrid, Spain;46;1512;N/D;https://puntarena.es/;https://maps.google.com/?cid=13856296220400845247;Chamberí
Tko Tacos;40.4310953;-3.7034756;Calle de Fuencarral, 127, Chamberí, 28010 Madrid, Spain;43;628;N/D;https://tkotacos.com/;https://maps.google.com/?cid=2598020571578680095;Chamberí
Tiki Tako;40.4394812;-3.7129245;C. de Guzmán el Bueno, 105, Chamberí, 28003 Madrid, Spain;44;239;N/D;http://tikitaco.es/;https://maps.google.com/?cid=1699992475780784476;Chamberí
El Santiamén;40.4350999;-3.7050847;C. de Fernández de los Ríos, 8, Chamberí, 28015 Madrid, Spain;48;1276;N/D;http://elsantiamen.es/;https://maps.google.com/?cid=13053922822370224791;Chamberí
El cachito del baby;40.4347412;-3.7154013;C. de Gaztambide, 30, Chamberí, 28015 Madrid, Spain;44;37;N/D;https://www.instagram.com/elcachitodelbaby/;https://maps.google.com/?cid=4203786537110402682;Chamberí
Gazteka Malasaña;40.4256183;-3.7073904;C. del Noviciado, 2, Centro, 28015 Madrid, Spain;48;412;N/D;https://gazteka.com/;https://maps.google.com/?cid=13583306492517114850;Chamberí
MALACOPA - Malasaña;40.4292923;-3.7076772;Calle del Acuerdo, 36, Centro, 28015 Madrid, Spain;47;558;N/D;https://www.malacopa.es/;https://maps.google.com/?cid=14052546604628239773;Chamberí
Frida Kahlo Gastro Galeria;40.4273895;-3.7199205;P.º del Pintor Rosales, 32, Moncloa - Aravaca, 28008 Madrid, Spain;47;545;N/D;https://fridakahlogastrogaleria.eatbu.com/?lang=es;https://maps.google.com/?cid=7446025620691112660;Chamberí
TKO Tacos Guzman;40.4363047;-3.713216;C. de Guzmán el Bueno, 69, Chamberí, 28015 Madrid, Spain;43;2450;€;https://tkotacos.com/;https://maps.google.com/?cid=16980378952876492141;Chamberí
La Santa Madrid;40.4361249;-3.6915009;C. de Miguel Ángel, 21, Chamberí, 28010 Madrid, Spain;44;644;N/D;http://www.lasantamadrid.com/;https://maps.google.com/?cid=10659452203260914826;Chamberí
Trompo Tacos;40.4340184;-3.7159011;C. de Gaztambide, 35, Chamberí, 28015 Madrid, Spain;47;130;N/D;https://www.trompo.es/;https://maps.google.com/?cid=17182324840073893172;Chamberí
Gave Mx Montecarmelo Restaurante Mexicano;40.5034467;-3.7077751;Av. del Monasterio de Silos, 22, Fuencarral-El Pardo, 28049 Madrid, Spain;47;751;N/D;https://gavemx.com/;https://maps.google.com/?cid=10673236102282033586;Fuencarral-El Pardo
El Bistró de Montecarmelo;40.5042022;-3.7085692;Av del Santuario de Valverde, 4, Fuencarral-El Pardo, 28049 Madrid, Spain;47;112;N/D;https://ibericbistro.last.shop/es/iberic-bistr%C3%B3;https://maps.google.com/?cid=1411536859809073628;Fuencarral-El Pardo
Cantina Mariachi;40.4936216;-3.6554338;C. del Príncipe Carlos, 48, Hortaleza, 28050 Madrid, Spain;45;1495;N/D;https://www.cantinamariachi.com/;https://maps.google.com/?cid=11866177194494638519;Fuencarral-El Pardo
Xipotle Taco Bar;40.4875927;-3.6560206;Pl. del Alcalde Moreno Torres, 9, Hortaleza, 28050 Madrid, Spain;48;1107;N/D;https://instagram.com/xipotletacobar?igshid=YmMyMTA2M2Y=;https://maps.google.com/?cid=13170154583253556234;Fuencarral-El Pardo
Junta de Distrito Fuencarral El Pardo.Oficina de Atención a la Ciudadanía.;40.4785929;-3.7097586;Av. de Monforte de Lemos, 40, Fuencarral-El Pardo, 28029 Madrid, Spain;38;332;N/D;https://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Atencion-a-la-ciudadania/Oficinas-de-Atencion-a-la-Ciudadania/Oficina-de-Atencion-a-la-Ciudadania-OAC-Fuencarral-El-Pardo-Linea-Madrid/?vgnextfmt=default&vgnextoid=eb0c8aa6bd91f010VgnVCM1000000b205a0aRCRD&vgnextchannel=5b99cde2e09a4310VgnVCM1000000b205a0aRCRD;https://maps.google.com/?cid=2545419242569949029;Fuencarral-El Pardo
Restaurante TACOVACA;40.4580263;-3.782582;Pl. San Anacleto, 1, Moncloa - Aravaca, 28023 Madrid, Spain;44;327;N/D;http://www.tacovaca.com/;https://maps.google.com/?cid=12939863338902455175;Fuencarral-El Pardo
Taco Bell;40.4794343;-3.708449;Av. de Monforte de Lemos, 36, Local 4, Fuencarral-El Pardo, 28029 Madrid, Spain;38;2047;€;https://tacobell.es/;https://maps.google.com/?cid=3014253644032758197;Fuencarral-El Pardo
La Chingona Aravaca;40.4650446;-3.7864239;C, Cam. de la Zarzuela, 23, Moncloa - Aravaca, 28023 Madrid, Spain;45;1013;N/D;https://glhrestaurants.com/l/restaurantes/la-chingona/;https://maps.google.com/?cid=2892212643534446181;Moncloa-Aravaca
Restaurante Zona Tropical;40.4219119;-3.720122;P.º de la Florida, 2, Moncloa - Aravaca, 28008 Madrid, Spain;44;3368;€;http://www.takomamamadrid.es/;https://maps.google.com/?cid=7751782384419686570;Moncloa-Aravaca
Hangover Arguelles;40.434238;-3.7154485;C. de Gaztambide, 26, Bajos 3-4, Chamberí, 28015 Madrid, Spain;49;65;N/D;;https://maps.google.com/?cid=12391701951621103022;Moncloa-Aravaca
TKO Tacos;40.4276588;-3.7143872;C. de Evaristo San Miguel, 2, Moncloa - Aravaca, 28008 Madrid, Spain;42;1567;€;https://tkotacos.com/;https://maps.google.com/?cid=6382322834868054709;Moncloa-Aravaca
Tierra Burrito Bar;40.4261703;-3.71499;C. de Martín de los Heros, 34, Moncloa - Aravaca, 28008 Madrid, Spain;44;1654;€;http://www.tierraburritos.com/;https://maps.google.com/?cid=10679027534820680109;Moncloa-Aravaca
Bar El Coyote comida mexicana;40.3903814;-3.7628234;C. de Maqueda, 110, Latina, 28024 Madrid, Spain;50;56;N/D;https://www.barelcoyote.es/;https://maps.google.com/?cid=2024324944951201411;Latina
Tamán;40.4133136;-3.7122356;C. de Alfonso VI, 6, Centro, 28005 Madrid, Spain;47;508;N/D;https://tamanafuegolento.com/;https://maps.google.com/?cid=4241017369626919523;Latina
Mi Ranchito Mexicano;40.3884607;-3.7663753;C. de Guareña, 6, Latina, 28044 Madrid, Spain;42;103;N/D;https://miranchitomexicano.framer.website/menu;https://maps.google.com/?cid=9742981552703973796;Latina
Restaurante Los Mandilones;40.3657993;-3.7591435;C. de la Lonja de la Seda, 25, Carabanchel, 28054 Madrid, Spain;48;904;€;https://www.losmandilones.com/;https://maps.google.com/?cid=14244201380056831381;Latina
D'Burritos;40.3903047;-3.7602928;C. de Quero, 59, 61, Latina, 28024 Madrid, Spain;46;309;€;;https://maps.google.com/?cid=12601305034929044574;Latina
California Burrito La Latina;40.4130452;-3.7103804;C. del Nuncio, 19, Centro, 28005 Madrid, Spain;46;118;N/D;https://www.californiaburrito.es/;https://maps.google.com/?cid=15434061163244587525;Latina
Mi Tiendita Mexicana. Madrid;40.4109532;-3.7098243;Pl. de la Cebada, Centro, 28005 Madrid, Spain;40;4;N/D;;https://maps.google.com/?cid=14264797554918764121;Latina
Restaurante El rincón de Katrina;40.3874128;-3.7360568;C. Francisco García, 19, Local, Carabanchel, 28025 Madrid, Spain;47;343;€€;https://elrincondekatrina.es/;https://maps.google.com/?cid=10324988077477440528;Carabanchel
La Cochinita Loca - Pau Carabanchel;40.3655301;-3.7630712;C. de la Lonja de la Seda, 43, Carabanchel, 28054 Madrid, Spain;45;2002;€€;https://www.lacochinitaloca.com/;https://maps.google.com/?cid=10158794570149953458;Carabanchel
Tierra Burrito Bar;40.387588;-3.7387548;C. de las Hermanas Alonso Barceló, 2, Carabanchel, 28025 Madrid, Spain;42;599;€;http://www.tierraburritos.com/;https://maps.google.com/?cid=9724019341853325158;Carabanchel
El jardín de mi madre;40.3623301;-3.7512502;Av. de la Peseta, 79, Carabanchel, 28054 Madrid, Spain;46;922;€€;;https://maps.google.com/?cid=4319404462073481544;Carabanchel
El Sexto Sol;40.3870414;-3.7298254;Av. de Oporto, 73, Carabanchel, 28019 Madrid, Spain;36;227;N/D;https://elsextosol.eatbu.com/;https://maps.google.com/?cid=9361185936957863157;Carabanchel
Buffet Latino La Suegra;40.3866115;-3.7400709;C. de Castrojeriz, 18, Carabanchel, 28025 Madrid, Spain;41;4094;€€;https://buffetlatinolasuegra.com/;https://maps.google.com/?cid=17060442054294410322;Carabanchel
Restaurante La Terrazza;40.3649011;-3.7627917;Av. de la Peseta, 27, Carabanchel, 28054 Madrid, Spain;46;773;€€;;https://maps.google.com/?cid=13252238731767332894;Carabanchel
Pupuseria Madrid La Ceiba;40.3858634;-3.7207163;C. de Antonia Lancha, 20, Carabanchel, 28019 Madrid, Spain;40;1329;€;http://www.pupuseriamadrid.es/;https://maps.google.com/?cid=16967227804775252534;Carabanchel
El Fogon De Usera;40.3878849;-3.7076322;C. de Ramón de Madariaga, 10, Usera, 28026 Madrid, Spain;44;707;€;http://www.elfogondeusera.com/;https://maps.google.com/?cid=10417409223661268920;Usera
Taquería Don Diego;40.356054;-3.6871114;C. de la Coalición, 35, local 9, Villaverde, 28041 Villaverde, Madrid, Spain;46;231;N/D;;https://maps.google.com/?cid=8267449417423814800;Usera
Restaurante El Rincón Colombiano;40.3860363;-3.7114916;C. de Enrique Fuentes, 19, Usera, 28026 Madrid, Spain;44;1078;€;https://www.facebook.com/elrincocolombiano/;https://maps.google.com/?cid=15242722429722511244;Usera
El Sabor Milagreño;40.3724877;-3.6915596;C. de Navascués, 7, Usera, 28041 Madrid, Spain;42;548;€;http://baresyrestaurantesdemadrid.blogspot.com/;https://maps.google.com/?cid=4075016404387156382;Usera
La Reina de las Tortillas;40.3836244;-3.6974497;Av. de Córdoba, 21, Bajo Nave 4, Usera, 28026 Madrid, Spain;46;185;N/D;http://www.lareinadelastortillas.com/;https://maps.google.com/?cid=2640901132868601201;Usera
Los Cantaritos;40.3866351;-3.7042875;C. del Amor Hermoso, 16, Usera, 28026 Madrid, Spain;40;265;€;;https://maps.google.com/?cid=9959666210686860843;Usera
Taco Bell;40.3710218;-3.6951652;Av. de los Poblados, 189, Usera, 28041 Madrid, Spain;35;493;€;https://tacobell.es/;https://maps.google.com/?cid=1215219866568790071;Usera
Rosi La Loca;40.4158037;-3.7029837;C. de Cádiz, 4, Centro, 28012 Madrid, Spain;47;21281;€;http://www.rosilaloca.com/;https://maps.google.com/?cid=7112650868937611535;Usera
Restaurante La Parrilla De Usera;40.3891671;-3.7009198;Calle de Antonio López, 160, Usera, 28026 Madrid, Spain;43;3940;€;https://laparrillausera.com/;https://maps.google.com/?cid=17395898793385419817;Usera
Cerrado;40.3908576;-3.7014177;Calle de Antonio López, 109, Usera, 28026 Madrid, Spain;34;814;N/D;;https://maps.google.com/?cid=14597664419500238734;Usera
Cantina Metrotacos;40.3948532;-3.6672995;C. de Martínez de la Riva, 4, 16, Puente de Vallecas, 28053 Madrid, Spain;50;10;N/D;;https://maps.google.com/?cid=8382796734321214747;Puente de Vallecas
Portacos Bar;40.393487;-3.6579169;C. de Josefa Díaz, 4, planta 1, local 4 exterior, Puente de Vallecas, 28038 Madrid, Spain;48;455;€€;https://www.portacosbar.es/;https://maps.google.com/?cid=8053718816895377659;Puente de Vallecas
Valletako;40.3934489;-3.6577187;Mercado Numancia, C. de Josefa Díaz, 4, Local 5 y 24, Puente de Vallecas, 28038 Madrid, Spain;47;197;N/D;;https://maps.google.com/?cid=16790723932236225982;Puente de Vallecas
Takeria Olmeka;40.3705468;-3.6289753;C. de Honrubia, 9, Local 1H, Villa de Vallecas, 28031 Madrid, Spain;47;546;€;;https://maps.google.com/?cid=9440777780464142904;Puente de Vallecas
CASA MEXICANA;40.3971826;-3.6660686;C. Felipe Fraile, 5, Puente de Vallecas, 28038 Madrid, Spain;48;9;N/D;;https://maps.google.com/?cid=15489707978277876715;Puente de Vallecas
EL CHULITO Coctelería & Taquería;40.3954899;-3.6689226;Av del Monte Igueldo, 28, Puente de Vallecas, 28053 Madrid, Spain;43;134;N/D;https://instagram.com/taqueria_elchulito?igshid=NjIwNzIyMDk2Mg==;https://maps.google.com/?cid=16153248945866044327;Puente de Vallecas
El Taquerito Madrid;40.3948705;-3.6673378;Puente de Vallecas, 28054 Madrid, Spain;46;9;N/D;;https://maps.google.com/?cid=11111338390251603409;Puente de Vallecas
Taco taki;40.3971043;-3.6646015;Calle del Dr. Salgado, 8, Puente de Vallecas, 28038 Madrid, Spain;41;58;N/D;;https://maps.google.com/?cid=1783023653369541719;Puente de Vallecas
HOT TAKOS;40.3949243;-3.6451294;C. de Humanes, 45, Puente de Vallecas, 28038 Madrid, Spain;31;15;N/D;;https://maps.google.com/?cid=11220023654671852028;Puente de Vallecas
Restaurante El Rincón De Los Cuates;40.3957782;-3.623542;Blvr. de Indalecio Prieto, 46, Lc 3, Vicálvaro, 28032 Madrid, Spain;45;422;N/D;http://www.elrincondeloscuates.es/;https://maps.google.com/?cid=17538873639864009188;Moratalaz
La Guarida Mexican Grill;40.4130788;-3.6634773;C/ de Sirio, 10, Retiro, 28007 Madrid, Spain;49;111;N/D;;https://maps.google.com/?cid=16975794258100017098;Moratalaz
Media Bala Madrid;40.4260025;-3.6326074;C/ de José Arcones Gil, 128, Cdad. Lineal, 28017 Madrid, Spain;47;446;€€;https://taqueriamediabala.com/;https://maps.google.com/?cid=4203169273778134550;Moratalaz
"Cantina Mexicana; entre Tequila & Tequila";40.4267046;-3.6419393;C. de Ezequiel Solana, 110, Cdad. Lineal, 28017 Madrid, Spain;47;174;N/D;https://www.instagram.com/cantinamex.tequila/;https://maps.google.com/?cid=2296889723132544837;Moratalaz
Las Lonjas de Moratalaz;40.4071998;-3.6487427;Las Lonjas, Av. de Moratalaz, Moratalaz, 28030 Madrid, Spain;44;1891;N/D;https://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Moratalaz?vgnextfmt=default&vgnextchannel=7cb0ca5d5fb96010VgnVCM100000dc0ca8c0RCRD;https://maps.google.com/?cid=2743524106015062217;Moratalaz
Restaurante El burro con tacos;40.4307116;-3.6415927;C. de Gutierre de Cetina, 69, Cdad. Lineal, 28017 Madrid, Spain;47;100;N/D;;https://maps.google.com/?cid=13168856499251450938;Moratalaz
El Jardín Secreto 28030;40.4044418;-3.6463991;Cl. de la Hacienda de Pavones, 83, Moratalaz, 28030 Madrid, Spain;44;1020;€€;;https://maps.google.com/?cid=17078572501891764593;Moratalaz
Nachos de Oro;40.4340172;-3.655688;Calle Alcalde López Casero, 18, Cdad. Lineal, 28027 Madrid, Spain;43;111;N/D;https://www.nachosdeoro.com/;https://maps.google.com/?cid=4485857462394017710;Moratalaz
Los Nachos de Oro;40.4340471;-3.6556715;Calle Alcalde López Casero, 18, Cdad. Lineal, 28027 Madrid, Spain;42;1667;€;http://www.nachosdeoro.com/;https://maps.google.com/?cid=10223308015385101892;Ciudad Lineal
Restaurante Ernesto's;40.4383967;-3.6518778;C/ de Virgen de los Reyes, 11, Cdad. Lineal, 28027 Madrid, Spain;49;163;N/D;;https://maps.google.com/?cid=12754224632712075098;Ciudad Lineal
EL BURRO CON TACOS 2;40.4346435;-3.6528378;C. de Florencio Llorente, 29, Cdad. Lineal, 28027 Madrid, Spain;49;134;N/D;http://burrocontacos.makro.bar/;https://maps.google.com/?cid=15296541409838319073;Ciudad Lineal
Tako Away;40.4366417;-3.6453194;C. Hermanos de Pablo, 22, Cdad. Lineal, 28027 Madrid, Spain;25;94;N/D;https://www.tako-away.es/portfolio/madrid-quintana/;https://maps.google.com/?cid=957894995745813216;Ciudad Lineal
CANCUN TAQUERIA;40.4465153;-3.6128563;C. Alcalá, 597, local 1, San Blas-Canillejas, 28022 Madrid, Spain;44;341;N/D;http://cancuntaqueria.es/;https://maps.google.com/?cid=7867343646679795736;Ciudad Lineal
Aztlán Restaurante Mexicano;40.4707175;-3.5862751;C. Aeronave, 18, Barajas, 28042 Madrid, Spain;47;381;N/D;https://aztlanrestaurante.com/;https://maps.google.com/?cid=5576625055545086226;Hortaleza
Jefe de Jefes;40.4314879;-3.6075966;Av. de Niza, 51, San Blas-Canillejas, 28022 Madrid, Spain;47;490;N/D;https://www.instagram.com/jefedejefesmadrid/;https://maps.google.com/?cid=9887924320841732398;Hortaleza
Taquería Keeken;40.4319741;-3.6084187;Trav. de Rda., 6, San Blas-Canillejas, 28022 Madrid, Spain;49;283;N/D;https://taqueriakeeken.com/;https://maps.google.com/?cid=6484428661053523803;Hortaleza
Taco Bell;40.4631332;-3.6366811;Palacio de Hielo, C. de Silvano, 77, Hortaleza, 28043 Madrid, Spain;39;572;€;https://tacobell.es/;https://maps.google.com/?cid=10158205243735616792;Hortaleza
Restaurante TKO Tacos Malinche;40.464228;-3.6131333;Teatro CP, Av. del Partenón, 5, J, Barajas, 28042 Madrid, Spain;30;7;N/D;https://tkotacos.com/local/avenida-del-panteon/;https://maps.google.com/?cid=341235055647938037;Hortaleza
Deseos De Catrina;40.3476058;-3.6776423;C. de Berrocal, 12, Villaverde, 28021 Madrid, Spain;42;780;€;http://deseosdecatrina.com/?utm_source=gmb&utm_medium=referral;https://maps.google.com/?cid=11810418058861209714;Villaverde
Taquería Mexicana;40.3681841;-3.5975125;Villa de Vallecas, 28051 Madrid, Spain;35;6;N/D;;https://maps.google.com/?cid=14355736110401214472;Villa de Vallecas
