full_id,osm_id,osm_type,railway,bus,natural,email,monorail,iata,highway,description,addr:housenumber,railway:ref,usage,source_url,indoor,emergency,defibrillator:location,bicycle,location,check_date:wheelchair,source:name,contact:url,name:pt,colour,type,name:es,name:ar,toilets:wheelchair,wheelchair:description,alt_name,light_rail,nohousenumber,addr:street,intercambiador,subway,station,layer,covered,old_name,ref,fare_zone,door,access,wikimedia_commons,internet_access,fare_area,addr:postcode,addr:city,level,entrance,wheelchair,wikipedia,wikidata,website,url,train,public_transport,platforms,operator:wikidata,operator,network:wikidata,network,name,contact:website
n5304749212,"5304749212",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,"Principe Pio metro;Principe Pio metro station",,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Príncipe Pío,Q2527066,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-625,http://www.citram.es/HORARIOS/info.aspx?estacion=4_198,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Príncipe Pío,https://www.crtm.es/widgets/#/stop/4_198
n5305025415,"5305025415",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,yes,,,https://www.metromadrid.es/es/linea/linea-3#estacion-357,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Villaverde Alto,
n5305486974,"5305486974",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,,,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-601,http://www.citram.es/HORARIOS/info.aspx?estacion=4_104,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Laguna,
n5305486975,"5305486975",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Lucero,Q957660,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-628,http://www.citram.es/HORARIOS/info.aspx?estacion=4_130,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Lucero,
n5305486976,"5305486976",node,station,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,no,es:Estación de Alto de Extremadura,Q2482103,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-627,http://www.citram.es/HORARIOS/info.aspx?estacion=4_129,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Alto de Extremadura,
n5305486977,"5305486977",node,station,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,no,es:Estación de Puerta del Ángel,Q2482152,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-626,http://www.citram.es/HORARIOS/info.aspx?estacion=4_128,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Puerta del Ángel,
n5305486979,"5305486979",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Ciudad Universitaria,Q2482378,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-622,http://www.citram.es/HORARIOS/info.aspx?estacion=4_124,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Ciudad Universitaria,https://www.crtm.es/widgets/#/stop/4_124
n5305486980,"5305486980",node,station,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,no,es:Estación de Vicente Aleixandre,Q2482382,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-621,http://www.citram.es/HORARIOS/info.aspx?estacion=4_123,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Vicente Aleixandre,https://www.crtm.es/widgets/#/stop/4_123
n5305486981,"5305486981",node,station,,,,,,,,,,,,,,,,,,,,,#999999,,,,no,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,no,es:Estación de República Argentina,Q2479342,,http://www.citram.es/HORARIOS/info.aspx?estacion=4_119,,station,,,Metro de Madrid,Q191987,Metro de Madrid,República Argentina,
n5305486982,"5305486982",node,station,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,no,es:Estación de O'Donnell,Q2479913,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-613,http://www.citram.es/HORARIOS/info.aspx?estacion=4_115,,station,,,Metro de Madrid,Q191987,Metro de Madrid,O'Donnell,
n5305486983,"5305486983",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Sainz de Baranda,Q2004752,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-612,http://www.citram.es/HORARIOS/info.aspx?estacion=4_114,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Sainz de Baranda,
n5305486986,"5305486986",node,station,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,Méndez Álvaro,yes,subway,,yes,,,,,,,,A,,Madrid,,,no,,,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-609,http://www.citram.es/HORARIOS/info.aspx?estacion=4_111,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Méndez Álvaro,
n5305486987,"5305486987",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Calle del Bronce,,yes,subway,,yes,,,,,,,,A,"28045",Madrid,,,yes,es:Estación de Arganzuela-Planetario,Q2056461,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-608,http://www.citram.es/HORARIOS/info.aspx?estacion=4_259,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Arganzuela-Planetario,
n5305486988,"5305486988",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,Madrid,,,yes,es:Estación de Usera,Q643209,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-606,http://www.citram.es/HORARIOS/info.aspx?estacion=4_109,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Usera,
n5305486989,"5305486989",node,station,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,Plaza Elíptica,yes,subway,,yes,,,,,,,,A,,,,,no,es:Estación de Plaza Elíptica,Q782113,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-605,http://www.citram.es/HORARIOS/info.aspx?estacion=4_108,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Plaza Elíptica,
n5305486991,"5305486991",node,station,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,no,es:Estación de Opañel,Q2482116,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-604,http://www.citram.es/HORARIOS/info.aspx?estacion=4_107,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Opañel,
n5305486992,"5305486992",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Carpetana,Q2482395,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-602,http://www.citram.es/HORARIOS/info.aspx?estacion=4_105,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Carpetana,
n5305513281,"5305513281",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Abrantes,Q2484433,https://www.metromadrid.es/es/linea/linea-11#estacion-1102,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Abrantes,
n5305513282,"5305513282",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Pan Bendito,Q2482414,https://www.metromadrid.es/es/linea/linea-11#estacion-1103,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Pan Bendito,
n5305513283,"5305513283",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de San Francisco,Q2061686,https://www.metromadrid.es/es/linea/linea-11#estacion-1104,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,San Francisco,
n5305513284,"5305513284",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Carabanchel Alto,Q2482617,https://www.metromadrid.es/es/linea/linea-11#estacion-1105,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Carabanchel Alto,
n5305513285,"5305513285",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de La Peseta,Q2484416,https://www.metromadrid.es/es/linea/linea-11#estacion-1106,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,La Peseta,
n5306531886,"5306531886",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,,,,,,yes,es:Estación de Arroyofresno,Q8779308,https://www.metromadrid.es/es/linea/linea-7#estacion-722,http://www.citram.es/HORARIOS/info.aspx?estacion=4_153,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Arroyofresno,https://www.crtm.es/widgets/#/stop/4_153
n5307455072,"5307455072",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,no,es:Estación de Duque de Pastrana,Q927753,https://www.metromadrid.es/es/linea/linea-9#estacion-905,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Duque de Pastrana,
n5307455075,"5307455075",node,station,,,,,,,,,,,,,,,,,,,,,#9F1F99,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,,es:Estación de Ventilla,Q3192875,https://www.metromadrid.es/es/linea/linea-9#estacion-903,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Ventilla,https://www.crtm.es/widgets/#/stop/4_163
n5307455076,"5307455076",node,station,,,,,,,,,,,,,,,,,,,,,#9F1F99,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,no,es:Estación de Barrio del Pilar,Q2463533,https://www.metromadrid.es/es/linea/linea-9#estacion-902,http://www.citram.es/HORARIOS/info.aspx?estacion=4_162,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Barrio del Pilar,https://www.crtm.es/widgets/#/stop/4_162
n5307455077,"5307455077",node,station,,,,,,,,,,,,,,,,,,,,,#9F1F99,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,no,es:Estación de Herrera Oria,Q2462763,https://www.metromadrid.es/es/linea/linea-9#estacion-901,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Herrera Oria,https://www.crtm.es/widgets/#/stop/4_161
n5307455078,"5307455078",node,station,,,,,,,,,,,,,,,,,,,,,#9F1F99,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Mirasierra,Q3858791,,,yes,station,,,Metro de Madrid,Q191987,Metro de Madrid,Mirasierra,
n5307477090,"5307477090",node,station,,,,,,,,,,,,,,,,,,,,,#9F1F99,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,yes,es:Estación de Pavones,Q2479437,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Pavones,
