Tipo,Nombre,Latitud,Longitud,lat_num,lon_num
Metro de Madrid,Pavones,40.4005425,-3.6352111,40.4005425,-3.6352111
Metro de Madrid,Artilleros,40.4052627,-3.6418518,40.4052627,-3.6418518
Metro de Madrid,Vinateros,40.4103313,-3.6525288,40.4103313,-3.6525288
Metro de Madrid,Estrella,40.4112849,-3.661347,40.4112849,-3.661347
Metro de Madrid,Cruz del Rayo,40.4444834,-3.6784632,40.4444834,-3.6784632
Metro de Madrid,Ibiza,40.4183658,-3.6781374,40.4183658,-3.6781374
Metro de Madrid,Concha Espina,40.4513295,-3.6776079,40.4513295,-3.6776079
Metro de Madrid,Pio XII,40.4618018,-3.6765305,40.4618018,-3.6765305
Metro de Madrid,Puerta de Arganda,40.4012423,-3.5957286,40.4012423,-3.5957286
Metro de Madrid,San Cipriano,40.4039851,-3.6035493,40.4039851,-3.6035493
Metro de Madrid,Vicalvaro,40.4042034,-3.6088938,40.4042034,-3.6088938
Metro de Madrid,Valdebernardo,40.3999118,-3.621522,40.3999118,-3.621522
Metro de Madrid,Lago,40.4165076,-3.7348806,40.4165076,-3.7348806
Metro de Madrid,Santiago Bernabeu,40.4523667,-3.6907254,40.4523667,-3.6907254
Metro de Madrid,Cuzco,40.4594841,-3.6900166,40.4594841,-3.6900166
Metro de Madrid,Begoña,40.4834526,-3.6869037,40.4834526,-3.6869037
Metro de Madrid,Fuencarral,40.4947348,-3.6930692,40.4947348,-3.6930692
Metro de Madrid,Tres Olivos,40.500966,-3.6946891,40.500966,-3.6946891
Metro de Madrid,Montecarmelo,40.5053359,-3.6959917,40.5053359,-3.6959917
Metro de Madrid,Las Tablas,40.5083428,-3.6694346,40.5083428,-3.6694346
Metro de Madrid,Ronda de la Comunicación,40.5151569,-3.6623169,40.5151569,-3.6623169
Metro de Madrid,Cuatro Vientos,40.3778953,-3.7919717,40.3778953,-3.7919717
Metro de Madrid,Aviacion Española,40.3837137,-3.7840243,40.3837137,-3.7840243
Metro de Madrid,Colonia Jardin,40.3968629,-3.7747975,40.3968629,-3.7747975
Metro de Madrid,Batan,40.4078351,-3.7531173,40.4078351,-3.7531173
Metro de Madrid,Palas de Rey,40.5054595,-3.6650971,40.5054595,-3.6650971
Metro de Madrid,Virgen del Cortijo,40.4872436,-3.661223,40.4872436,-3.661223
Metro de Madrid,Fuente de la Mora,40.4846824,-3.6630565,40.4846824,-3.6630565
Metro de Madrid,Antonio Saura,40.4853643,-3.6537279,40.4853643,-3.6537279
Metro de Madrid,Alvarez de Villaamil,40.4891668,-3.6513796,40.4891668,-3.6513796
Metro de Madrid,Blasco Ibaez,40.4936729,-3.6558437,40.4936729,-3.6558437
Metro de Madrid,Maria Tudor,40.4976043,-3.6584428,40.4976043,-3.6584428
Cercanias Madrid,San Cristobal Industrial,40.3316317,-3.6993784,40.3316317,-3.6993784
Cercanias Madrid,San Cristobal de los Angeles,40.3421965,-3.6837456,40.3421965,-3.6837456
Cercanias Madrid,Aravaca,40.4485813,-3.7854948,40.4485813,-3.7854948
Metro de Madrid,Mendez Alvaro,40.3956027,-3.6785934,40.3956027,-3.6785934
Cercanias Madrid,Valdebebas,40.4818094,-3.6164188,40.4818094,-3.6164188
Cercanias Madrid,Aeropuerto T4,40.4923256,-3.5935907,40.4923256,-3.5935907
Cercanias Madrid,Asamblea de Madrid-Entrevias,40.3816333,-3.6680241,40.3816333,-3.6680241
Cercanias Madrid,Vallecas,40.3820582,-3.6247854,40.3820582,-3.6247854
Cercanias Madrid,Santa Eugenia,40.3871289,-3.6090858,40.3871289,-3.6090858
Cercanias Madrid,Vicalvaro,40.4012591,-3.5959253,40.4012591,-3.5959253
Metro de Madrid,Las Rosas,40.4235572,-3.6028437,40.4235572,-3.6028437
Cercanias Madrid,Paco de Lucia,40.4999238,-3.709616,40.4999238,-3.709616
Metro de Madrid,Paco de Lucia,40.4997301,-3.7090213,40.4997301,-3.7090213
Metro de Madrid,Bilbao,40.4292705,-3.7019295,40.4292705,-3.7019295
Cercanias Madrid,El Pozo,40.3761663,-3.6560947,40.3761663,-3.6560947
Metro de Madrid,Menendez Pelayo,40.4042973,-3.6811007,40.4042973,-3.6811007
Metro de Madrid,Pinar del Rey,40.468181,-3.6483187,40.468181,-3.6483187
Metro de Madrid,Gran via de Hortaleza,40.4681484,-3.6483033,40.4681484,-3.6483033
Cercanias Madrid,Villaverde Alto,40.3415173,-3.7115865,40.3415173,-3.7115865
Cercanias Madrid,Universidad Pontificia de Comillas,40.5540616,-3.683493,40.5540616,-3.683493
Metro de Madrid,Pacifico,40.4013961,-3.6748832,40.4013961,-3.6748832
Metro de Madrid,Conde de Casal,40.4078121,-3.6701194,40.4078121,-3.6701194
Metro de Madrid,Arroyofresno,40.4908253,-3.7258311,40.4908253,-3.7258311
Metro de Madrid,Pitis,40.4953016,-3.7255882,40.4953016,-3.7255882
Metro de Madrid,Chamartin,40.4722431,-3.6822619,40.4722431,-3.6822619
Cercanias Madrid,Ramon Y Cajal,40.4879448,-3.6946535,40.4879448,-3.6946535
Cercanias Madrid,Fuente de la Mora,40.4849618,-3.6631142,40.4849618,-3.6631142
Cercanias Madrid,Nuevos Ministerios,40.4450104,-3.6919655,40.4450104,-3.6919655
Cercanias Madrid,Aravaca,40.4483424,-3.7858262,40.4483424,-3.7858262
Cercanias Madrid,Atocha-Cercanias,40.4059688,-3.6887662,40.4059688,-3.6887662
Metro de Madrid,Madrid-Puerta de Atocha-Almudena Grandes,40.4056837,-3.6900187,40.4056837,-3.6900187
Cercanias Madrid,Cantoblanco Universidad,40.5438006,-3.7001897,40.5438006,-3.7001897
Metro de Madrid,T4S,40.4944748,-3.5672079,40.4944748,-3.5672079
Metro de Madrid,Chamartin,40.4725814,-3.6833425,40.4725814,-3.6833425
Cercanias Madrid,Piramides,40.4029561,-3.711976,40.4029561,-3.711976
Metro de Madrid,Delicias,40.4000736,-3.6918763,40.4000736,-3.6918763
Cercanias Madrid,El Barrial-Centro Comercial Pozuelo,40.4653284,-3.8078481,40.4653284,-3.8078481
Cercanias Madrid,Principe Pio,40.4215987,-3.719032,40.4215987,-3.719032
Cercanias Madrid,Madrid-Chamartin-Clara Campoamor,40.4727184,-3.6824287,40.4727184,-3.6824287
Cercanias Madrid,Aluche,40.3857142,-3.761444,40.3857142,-3.761444
Metro de Madrid,Mirasierra,40.491111,-3.7163839,40.491111,-3.7163839
Cercanias Madrid,Orcasitas,40.3670927,-3.7041409,40.3670927,-3.7041409
Metro de Madrid,Aluche,40.3856671,-3.7607634,40.3856671,-3.7607634
